rewards,losses,steps,epsilons
21,22.578730895842387,304,0.995
-303,15.780242310841155,439,0.990025
-291,14.9101335113087,372,0.985074875
-1232,14.101108883142471,500,0.9801495006250001
-1043,16.8182555539608,500,0.9752487531218751
-143,19.15326900923089,146,0.9703725093562657
-287,20.645680157316697,296,0.9655206468094844
-673,20.256078868150713,500,0.960693043575437
-48,19.38428311575629,377,0.9558895783575597
-440,19.08023540524469,276,0.9511101304657719
47,19.387088563475576,286,0.946354579813443
-560,27.671219561100006,500,0.9416228069143757
-1019,26.603353835344315,500,0.9369146928798039
-1176,28.42522289275049,444,0.9322301194154049
-275,31.305934446383038,277,0.9275689688183278
-178,29.720512653219288,290,0.9229311239742362
-106,27.60773942074968,223,0.918316468354365
-230,27.291064530307963,295,0.9137248860125932
-508,25.597961847782134,250,0.9091562615825302
27,16.892713454507646,84,0.9046104802746175
-753,24.570435349941253,500,0.9000874278732445
-500,30.24494998553955,458,0.8955869907338783
-437,35.10840206046899,240,0.8911090557802088
-964,28.98209230208397,500,0.8866535105013078
-650,21.816134816901698,314,0.8822202429488013
-13,23.027567795827878,141,0.8778091417340573
-473,24.50742164893512,303,0.8734200960253871
-1582,25.690307129383086,500,0.8690529955452602
-410,26.732973642127458,344,0.8647077305675338
51,27.85884936344929,78,0.8603841919146962
-912,21.488460652351378,500,0.8560822709551227
-955,29.626700462341308,500,0.851801859600347
-181,32.48327110540913,259,0.8475428503023453
-182,27.425909399986267,436,0.8433051360508336
190,25.008189777366255,238,0.8390886103705794
-566,32.200009997980096,486,0.8348931673187264
-1051,33.384025594234465,500,0.8307187014821328
-1205,27.20623398780823,500,0.8265651079747222
-265,25.603045098921832,102,0.8224322824348486
-1188,32.50217639350891,500,0.8183201210226743
191,32.444940558139315,376,0.8142285204175609
-391,30.393928484192916,448,0.810157377815473
-253,25.00936288660672,193,0.8061065909263957
-742,28.46912787151337,500,0.8020760579717637
-24,32.73323800387206,216,0.798065677681905
-346,23.709385349500646,458,0.7940753492934954
-498,29.98552706837654,500,0.7901049725470279
-924,27.436557371139525,500,0.7861544476842928
-1408,25.08638045310974,500,0.7822236754458713
-623,27.180401203854014,441,0.778312557068642
-359,25.57353515366174,479,0.7744209942832988
-619,27.789283437301574,491,0.7705488893118823
-376,34.876057653120775,358,0.7666961448653229
-943,26.044178107738496,500,0.7628626641409962
-31,30.886334901385837,225,0.7590483508202912
9,20.22087551653385,48,0.7552531090661897
92,27.249167418669142,252,0.7514768435208588
-351,24.451614907601986,328,0.7477194593032545
-654,25.671951366186143,500,0.7439808620067382
-183,28.01489005895222,136,0.7402609576967045
-383,26.452355956077575,500,0.736559652908221
-161,21.06546138756648,211,0.7328768546436799
-172,21.886646897806596,346,0.7292124703704616
-668,31.49378107380867,500,0.7255664080186093
-74,26.795798616809446,286,0.7219385759785162
224,20.004324741530837,342,0.7183288830986236
-1,26.538998561589707,446,0.7147372386831305
-826,25.750292263519814,478,0.7111635524897149
60,27.87609390126232,259,0.7076077347272662
-33,17.518082469940186,125,0.7040696960536299
-973,27.79150786113739,500,0.7005493475733617
61,27.0517548828414,198,0.697046600835495
-832,26.52011269402504,500,0.6935613678313175
-18,26.64451615934941,134,0.6900935609921609
58,31.783107229641505,154,0.6866430931872001
-109,28.84587897712534,440,0.6832098777212641
-217,24.025371880054475,500,0.6797938283326578
-900,22.17392730283737,500,0.6763948591909945
32,19.486069585825945,74,0.6730128848950395
-909,22.641756246089937,500,0.6696478204705644
-123,18.36662540937725,57,0.6662995813682115
181,32.321409361703054,70,0.6629680834613705
-326,25.255340490341187,500,0.6596532430440636
-2,30.02352894618448,226,0.6563549768288433
-624,28.361207366466523,500,0.653073201944699
-161,28.631918117721032,376,0.6498078359349755
68,29.02475633589845,304,0.6465587967553006
-466,27.37137438188249,433,0.6433260027715241
-663,25.124982360363006,500,0.6401093727576664
-878,26.349050646305084,500,0.6369088258938781
-723,28.464365195274354,500,0.6337242817644086
30,24.27902624245846,165,0.6305556603555866
-606,25.05872881126404,500,0.6274028820538087
-986,27.25098162174225,500,0.6242658676435396
-30,29.024058712246084,349,0.6211445383053219
-38,27.148486304232737,473,0.6180388156137953
-412,22.819056876244083,496,0.6149486215357263
13,19.92147445042928,75,0.6118738784280476
-29,37.948140170839096,54,0.6088145090359074
59,26.692198658914116,361,0.6057704364907278
-559,30.428060798168183,500,0.6027415843082742
-313,28.612320002168417,256,0.5997278763867329
-429,28.524144156441015,382,0.5967292370047992
-972,23.263548251152038,500,0.5937455908197752
-489,25.733521072864534,500,0.5907768628656763
-344,26.83352694524232,372,0.5878229785513479
-750,24.42604817199707,500,0.5848838636585911
-312,26.341466153144836,500,0.5819594443402982
-83,25.48185846540663,468,0.5790496471185967
-575,24.494381318569182,500,0.5761543988830038
-755,21.94571566963196,500,0.5732736268885887
160,21.984720185212012,239,0.5704072587541458
-521,19.36972209802097,327,0.567555222460375
-551,21.480960041046142,500,0.5647174463480732
243,20.911831948896705,393,0.5618938591163328
-1202,25.807530494213104,500,0.5590843898207511
-60,25.641412933205448,344,0.5562889678716474
263,21.754118882569692,149,0.5535075230322891
-18,26.372505720886025,370,0.5507399854171277
-667,24.05328501844406,500,0.547986285490042
-255,21.378082910463924,336,0.5452463540625918
-569,21.329343082904817,500,0.5425201222922789
46,18.14613084282194,56,0.5398075216808175
-1057,24.57869313812256,500,0.5371084840724134
-1316,25.354217144966125,500,0.5344229416520513
-632,22.464077519125727,498,0.531750826943791
-146,30.63687968737837,345,0.5290920728090721
-24,17.83158173601506,295,0.5264466124450268
-873,25.726045776844025,500,0.5238143793828016
-308,28.59989705566288,258,0.5211953074858876
-1547,27.311485122203827,500,0.5185893309484582
-116,24.023405398754093,302,0.5159963842937159
-34,21.643919169467733,274,0.5134164023722473
-167,31.12560033956111,302,0.510849320360386
-778,26.51339088201523,500,0.5082950737585841
-379,27.614022264957427,500,0.5057535983897912
-741,26.492445318937303,500,0.5032248303978422
-749,29.22782455396652,500,0.500708706245853
-181,27.948924879074095,500,0.4982051627146237
-234,25.040206730365753,308,0.49571413690105054
-364,25.084133430957795,500,0.4932355662165453
-119,24.687265972296398,156,0.4907693883854626
-846,23.771862728118897,500,0.4883155414435353
-651,24.281751255989075,500,0.4858739637363176
-30,21.851027931325575,425,0.483444593917636
-575,20.75082325029373,500,0.4810273709480478
-383,24.282350903465634,441,0.47862223409330756
-591,23.111564168453217,500,0.47622912292284103
-393,28.441983003778315,471,0.4738479773082268
-420,22.13814766717558,476,0.47147873742168567
-125,22.404084725813433,143,0.46912134373457726
-1072,20.477899455547334,500,0.46677573701590436
-199,24.148322209637826,382,0.46444185833082485
166,24.46737351316087,188,0.46211964903917074
-245,25.489779831201602,390,0.4598090507939749
-399,23.380428801721603,335,0.457510005540005
174,25.858603875901963,225,0.45522245551230495
-198,22.640428647994995,375,0.4529463432347434
-215,21.32377965109689,406,0.4506816115185697
-323,25.197616115311124,302,0.4484282034609769
-573,23.33512208867073,500,0.446186062443672
23,22.907324525145885,383,0.4439551321314536
-237,25.88472714768835,332,0.4417353564707963
-90,22.257534774144492,210,0.43952667968844233
-1139,19.553309141635896,500,0.43732904629000013
-1053,16.748599809646606,500,0.4351424010585501
-88,22.742844087382156,144,0.43296668905325736
-467,20.931261648534395,447,0.43080185560799106
39,19.445148453263954,404,0.4286478463299511
-1160,25.13709109793726,497,0.42650460709830135
-1001,19.190338800907135,500,0.42437208406280985
408,18.72965861713819,177,0.4222502236424958
-241,23.171669322649638,450,0.42013897252428334
-1170,19.010415265083314,500,0.4180382776616619
-653,19.487504163503647,500,0.4159480862733536
-27,24.217103234733024,205,0.41386834584198684
-553,19.432809576790987,411,0.4117990041127769
-248,23.108933641599574,345,0.40974000909221303
-1230,20.267414674282072,500,0.40769130904675194
-34,30.907607351882117,280,0.40565285250151817
-43,28.27615166203304,387,0.4036245882390106
-417,23.52826841633776,413,0.4016064652978155
-517,17.161250806094817,298,0.3995984329713264
-22,26.05970690044732,313,0.3976004408064698
171,25.60030286059235,264,0.39561243860243744
-1032,27.908561547756197,500,0.3936343764094253
-335,25.766539905408415,396,0.39166620452737816
-378,23.535366521034067,438,0.3897078735047413
-500,35.342599348044295,239,0.3877593341372176
-613,25.85101898431778,500,0.3858205374665315
-758,29.12315242910385,500,0.38389143477919885
-505,18.44124943757579,274,0.3819719776053028
-802,22.95841332769394,500,0.3800621177172763
-1057,20.915160475730897,500,0.37816180712868996
-96,27.37367029379054,328,0.37627099809304654
-1721,26.26027035856247,500,0.3743896431025813
-1171,31.590981641575187,383,0.37251769488706843
-28,20.45161081602176,480,0.3706551064126331
-486,19.345306450088554,298,0.36880183088056995
-1642,24.097919166564942,500,0.3669578217261671
